month,total_orders,monthly_revenue
2016-09,1,134.97
2016-10,265,40325.11
2016-12,1,10.90
2017-01,748,111712.47
2017-02,1641,232638.86
2017-03,2546,359198.85
2017-04,2303,340669.68
2017-05,3545,489159.25
2017-06,3135,421923.37
2017-07,3872,481604.52
2017-08,4193,554699.70
2017-09,4149,607220.67
2017-10,4478,648247.65
2017-11,7288,987648.07
2017-12,5513,726033.19
2018-01,7069,924645.00
2018-02,6555,826437.13
2018-03,7003,953356.25
2018-04,6798,973534.09
2018-05,6749,977544.69
2018-06,6096,855591.97
2018-07,6156,867486.47
2018-08,6351,838576.64
